Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1997/10/1,EPIDEMIC,1,5,0,0,0,0,95,0,0,0
1997/10/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1997/11/1,DROUGHT,1,0,0,0,0,0,0,44698,0,0
1997/11/1,FIRE,1,0,0,0,0,4,0,0,0,0
1997/11/1,STORM,3,3,0,0,283,503,0,3249,0,0
1997/12/1,DROUGHT,1,0,0,0,0,0,0,6000,0,0
1997/12/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1997/12/1,LIGHTNING,1,0,2,0,0,0,3,0,0,0
1997/12/1,STORM,1,0,0,0,0,0,0,0,0,0
1998/1/1,CONFLICT MAN WILD FAUNA,8,4,0,0,0,0,0,0,0,0
1998/1/1,DROUGHT,4,0,0,0,0,0,0,74507,0,0
1998/1/1,EPIDEMIC,7,390,0,0,0,0,62,17958,0,0
1998/1/1,FLASH FLOOD,5,0,0,0,0,0,10000,0,0,0
1998/1/1,FLOOD,6,2,0,0,3500,0,0,27400,0,0
1998/1/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1998/1/1,HEAT WAVE,1,0,0,0,0,0,0,0,0,0
1998/1/1,PLAGUE,22,0,0,0,0,0,0,0,0,0
1998/1/1,RAINS,2,0,0,0,466,0,0,0,0,0
1998/1/1,TROP. DEPRESS.,2,3,1,0,1369,0,0,0,0,0
1998/1/1,EPIDEMIC,1,1,0,0,0,0,0,3083,0,0
1998/1/1,FLASH FLOOD,14,0,0,0,922,466,0,54612,30,0
1998/1/1,FLOOD,15,0,0,0,450,0,0,2747,0,0
1998/1/1,LIGHTNING,1,0,2,0,0,0,2,0,0,0
1998/1/1,PLAGUE,2,0,0,0,0,0,0,5550,0,0
1998/1/1,RAINS,2,72,18,97,0,0,0,4162,0,0
1998/1/1,STORM,1,0,0,1,140,30,0,2130,0,0
1998/1/1,TROP. DEPRESS.,3,7,0,0,1802,0,80,11471,0,0
1998/2/1,CONFLICT MAN WILD FAUNA,1,0,0,0,0,0,0,0,0,0
1998/2/1,EPIDEMIC,1,109,0,0,0,0,0,0,0,0
1998/2/1,FLASH FLOOD,2,0,0,0,3500,0,0,0,0,0
1998/2/1,FLOOD,3,4,0,0,559,0,3850,10008,0,0
1998/2/1,RAINS,1,0,0,0,0,0,0,0,0,0
1998/3/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1998/3/1,FLASH FLOOD,1,0,0,0,0,0,0,2100,0,0
1998/3/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1998/4/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1998/4/1,LANDSLIDE,1,69,8,72,204,0,4000,7500,0,0
1998/5/1,FLASH FLOOD,1,0,0,0,0,0,0,3492,0,0
1998/5/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1998/6/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
