Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
2009/2/1,FIRE,116,1,5,0,127,643,3791,0,0,0
2009/3/1,FIRE,113,1,1,0,83,431,1857,0,0,0
2009/3/1,STORM,2,0,0,0,6,0,22,0,0,0
2009/4/1,FIRE,106,25,36,4,236,644,4857,0,0,0
2009/4/1,STORM,4,0,0,0,0,122,398,0,0,0
2009/5/1,FIRE,70,7,41,0,31,194,605,0,0,0
2009/5/1,FLOOD,6,0,0,0,0,0,0,0,0,0
2009/5/1,RIVERBANK EROSION,4,0,0,0,0,0,0,0,0,0
2009/5/1,STORM,17,0,0,0,390,111,5436,0,0,0
2009/6/1,FIRE,37,0,5,0,0,28,104,0,0,0
2009/6/1,STORM,6,8,6,0,4,0,20,0,0,0
2009/7/1,CYCLONE,4,0,0,0,100,0,668,0,0,0
2009/7/1,FIRE,36,2,4,0,32,45,272,0,0,0
2009/7/1,STORM,3,0,12,0,0,68,159,0,0,0
2009/7/1,TORNADO,1,0,7,0,32,0,84,0,0,0
2009/8/1,FIRE,22,4,6,0,0,4,0,0,0,0
2009/8/1,STORM,2,0,0,0,0,0,0,0,0,0
2009/9/1,FIRE,20,0,5,0,0,2,4,0,0,0
2009/9/1,FLOOD,2,0,0,0,8,0,22,0,0,0
2009/9/1,STORM,2,0,0,0,0,26,98,0,0,0
2009/10/1,FIRE,42,0,0,0,0,12,21,0,0,0
2009/10/1,FLOOD,2,0,0,0,838,0,2156,0,0,0
2009/10/1,THUNDER LIGHTING STROKE,2,0,0,0,0,0,0,0,0,0
2009/11/1,FIRE,77,0,0,0,18,140,532,0,0,0
2009/12/1,FIRE,155,2,0,0,7,152,470,0,0,0
2010/1/1,EPIDEMIC/PANDEMIC,15,17,0,0,0,0,5374,0,0,0
2010/1/1,FIRE,2,0,0,0,4,0,8,0,0,0
2010/1/1,FLOOD,12,0,0,0,0,0,0,0,0,0
2010/1/1,RIVERBANK EROSION,2,0,0,0,0,0,0,0,0,0
2010/1/1,STORM,9,0,0,0,0,0,0,0,0,0
2010/1/1,FIRE,137,7,4,0,250,22,1265,0,0,0
2010/1/1,URBAN FIRE,2,0,0,0,12,0,50,0,0,0
2010/2/1,FIRE,239,19,3,0,1303,134,5260,0,0,0
2010/2/1,LANDSLIDE,2,0,0,0,0,0,0,0,0,0
2010/3/1,FIRE,243,3,6,0,1466,172,7014,0,0,0
2010/3/1,STORM,4,0,0,0,184,0,838,0,0,0
2010/3/1,URBAN FIRE,1,0,0,0,1,0,13,0,0,0
2010/4/1,FIRE,230,5,3,0,622,13,2413,0,0,0
2010/4/1,STORM,9,0,0,0,99,49,575,0,0,0
2010/5/1,CYCLONE,2,0,0,0,856,0,3066,0,0,0
2010/5/1,FIRE,141,0,8,0,1381,3,3477,0,0,0
2010/5/1,STORM,1,0,0,0,428,0,1533,0,0,0
2010/5/1,TORNADO,1,0,0,0,0,122,0,516,0,0
2010/6/1,FIRE,76,17,2,0,572,0,609,0,0,0
2010/6/1,RIVERBANK EROSION,2,0,0,0,0,0,0,0,0,0
2010/7/1,FIRE,57,0,2,0,118,2,243,0,0,0
2010/7/1,RAT,2,0,0,0,0,0,238,0,0,0
2010/7/1,RIVERBANK EROSION,2,0,0,0,0,0,0,0,0,0
2010/8/1,FIRE,62,1,4,0,152,71,627,0,0,0
2010/8/1,FLOOD,2,0,0,0,0,8,0,0,0,0
2010/9/1,FIRE,55,6,5,0,38,1,92,0,0,0
2010/9/1,FLOOD,18,0,0,0,0,0,0,0,0,0
2010/10/1,FIRE,84,101,70,0,199,1,766,0,0,0
2010/10/1,FLOOD,18,8,0,0,654,0,2408,0,0,0
2010/10/1,STORM,6,0,0,0,0,0,0,0,0,0
2010/10/1,THUNDER LIGHTING STROKE,2,4,0,0,0,0,0,0,0,0
2010/11/1,EPIDEMIC/PANDEMIC,2,0,0,0,0,0,0,0,0,0
2010/11/1,FIRE,82,8,9,0,659,2,629,0,0,0
2010/11/1,RIVERBANK EROSION,2,0,0,0,12,18,168,0,0,0
2010/12/1,FIRE,112,2,10,0,88,0,367,0,0,0
2011/1/1,EPIDEMIC/PANDEMIC,22,524,0,0,0,0,8889,0,0,0
2011/1/1,FIRE,1,0,0,0,10,0,0,60,0,0
2011/1/1,FLOOD,10,0,0,0,0,0,0,0,0,0
2011/1/1,LANDSLIDE,1,0,0,0,0,0,0,0,0,0
2011/1/1,RIVERBANK EROSION,2,0,0,0,0,0,0,0,0,0
2011/1/1,FIRE,81,1,6,5,304,1,1774,0,0,0
2011/2/1,FIRE,143,1,4,3,985,8,4384,0,0,0
2011/3/1,CYCLONE,1,0,0,0,58,0,295,0,0,0
2011/3/1,EARTHQUAKE,2,0,0,0,0,1400,0,0,0,0
2011/3/1,FIRE,158,1,1,5,792,140,4098,0,0,0
2011/3/1,FLOOD,2,0,0,0,0,0,0,0,0,0
2011/3/1,FOREST FIRE,1,0,0,0,38,0,258,0,0,0
2011/3/1,STORM,1,0,0,0,0,0,0,0,0,0
2011/4/1,FIRE,143,0,0,3,371,6,2477,0,0,0
2011/4/1,STORM,13,0,0,1,108,58,1234,0,0,0
2011/4/1,THUNDER LIGHTING STROKE,2,2,2,0,0,0,0,0,0,0
2011/5/1,FIRE,98,16,8,13,129,0,504,0,0,0
2011/5/1,FLOOD,3,0,0,0,0,0,2042,0,0,0
2011/5/1,OTHER,4,4,0,0,0,0,0,0,0,0
2011/5/1,STORM,31,1,0,0,825,0,5554,0,0,0
2011/5/1,THUNDER LIGHTING STROKE,2,0,4,0,0,0,0,0,0,0
2011/6/1,FIRE,75,0,0,0,45,11,246,0,0,0
2011/6/1,FLOOD,4,0,0,0,10,0,0,0,0,0
2011/6/1,LANDSLIDE,1,2,0,0,3,0,101,0,0,21
2011/6/1,OTHER,2,2,0,0,0,0,0,0,0,0
2011/6/1,RIVERBANK EROSION,2,0,0,0,28,0,134,0,0,0
2011/6/1,STORM,13,0,0,0,124,29,663,0,0,0
2011/6/1,THUNDER LIGHTING STROKE,2,2,2,0,0,0,0,0,0,0
2011/7/1,FIRE,85,4,8,4,77,14,254,0,0,0
2011/7/1,FLOOD,50,0,0,0,1658,0,7094,0,0,808
2011/7/1,INDUSTRIAL FIRE,1,0,0,0,0,0,0,0,0,0
2011/7/1,STORM,2,0,0,0,0,20,41,0,0,0
2011/7/1,THUNDER LIGHTING STROKE,1,2,0,0,0,0,0,0,0,0
2011/8/1,FIRE,50,0,0,1,32,4,61,0,0,0
2011/8/1,FLOOD,35,0,0,0,1070,2234,25665,0,0,0
2011/8/1,LANDSLIDE,2,0,0,0,32,0,202,0,0,0
2011/8/1,RIVER FLOOD,2,0,0,0,0,0,0,0,0,0
2011/8/1,STORM,25,0,0,0,20,0,88,0,0,0
2011/8/1,THUNDER LIGHTING STROKE,5,11,0,0,0,0,0,0,0,0
2011/9/1,FIRE,54,0,1,2,48,4,291,0,0,0
2011/9/1,FLOOD,15,0,0,0,1066,326,14450,0,0,10770
2011/9/1,RIVERBANK EROSION,6,0,0,0,42,82,518,0,0,0
2011/9/1,STORM,1,0,0,0,0,0,0,0,0,0
2011/10/1,FIRE,74,1,2,5,41,6,142,0,0,0
2011/10/1,FLOOD,68,0,0,0,14987,28400,265217,0,0,0
2011/10/1,LANDSLIDE,1,2,0,0,0,0,0,0,0,0
2011/10/1,RIVERBANK EROSION,3,0,0,0,114,0,732,0,0,0
2011/10/1,STORM,2,6,0,0,0,0,0,0,0,0
2011/10/1,THUNDER LIGHTING STROKE,3,3,0,0,0,0,0,0,0,0
2011/11/1,FIRE,134,9,11,1,966,28,2080,0,0,0
2011/11/1,FLOOD,8,0,0,0,5006,1004,23408,0,0,0
2011/11/1,RIVERBANK EROSION,2,0,0,0,110,0,438,0,0,0
2011/11/1,STORM,3,0,0,0,21,0,107,0,0,0
